archivo,_arco_normal_pianissimo
violin_G7_15_pianissimo_arco-normal.mp3,0.36627445
violin_E6_1_pianissimo_arco-normal.mp3,0.4042443
violin_C7_1_pianissimo_arco-normal.mp3,0.3604032
violin_F6_05_pianissimo_arco-normal.mp3,0.383731
violin_G5_025_pianissimo_arco-normal.mp3,0.41659114
violin_A6_025_pianissimo_arco-normal.mp3,0.38594466
violin_B6_05_pianissimo_arco-normal.mp3,0.3639095
violin_Cs4_025_pianissimo_arco-normal.mp3,0.48516113
violin_G3_025_pianissimo_arco-normal.mp3,0.3233145
violin_Gs5_025_pianissimo_arco-normal.mp3,0.33446065
violin_F6_025_pianissimo_arco-normal.mp3,0.36379638
violin_Cs5_025_pianissimo_arco-normal.mp3,0.3938219
violin_F4_05_pianissimo_arco-normal.mp3,0.34961134
violin_E5_05_pianissimo_arco-normal.mp3,0.44294396
violin_G6_05_pianissimo_arco-normal.mp3,0.38150895
violin_Ds6_025_pianissimo_arco-normal.mp3,0.36313292
violin_Fs6_05_pianissimo_arco-normal.mp3,0.38323933
violin_G5_15_pianissimo_arco-normal.mp3,0.43739584
violin_Ds5_05_pianissimo_arco-normal.mp3,0.5339498
violin_As6_05_pianissimo_arco-normal.mp3,0.35984805
violin_A3_025_pianissimo_arco-normal.mp3,0.35307145
violin_D6_1_pianissimo_arco-normal.mp3,0.41128108
violin_E7_025_pianissimo_arco-normal.mp3,0.36095616
violin_D5_15_pianissimo_arco-normal.mp3,0.31425777
violin_F6_1_pianissimo_arco-normal.mp3,0.39435688
violin_B6_1_pianissimo_arco-normal.mp3,0.3541263
violin_G4_1_pianissimo_arco-normal.mp3,0.2819535
violin_G7_025_pianissimo_arco-normal.mp3,0.36873308
violin_As4_025_pianissimo_arco-normal.mp3,0.46105146
violin_As4_1_pianissimo_arco-normal.mp3,0.48382083
violin_G6_phrase_pianissimo_arco-normal.mp3,0.3560452
violin_E7_05_pianissimo_arco-normal.mp3,0.36536413
violin_F4_025_pianissimo_arco-normal.mp3,0.33926564
